Year	Nobs	NobsU
1907	456	261
1908	599	315
1909	519	302
1910	657	335
1911	599	309
1912	620	330
1913	548	318
1914	621	322
1915	562	323
1916	630	328
1917	691	328
1918	726	338
1919	515	326
1920	691	333
1921	674	335
1922	642	320
1923	601	308
1924	640	330
1925	695	327
1926	734	344
1927	741	333
1928	666	327
1929	737	335
1930	678	327
1931	560	320
1932	678	333
1933	661	321
1934	617	315
1935	615	308
1936	633	312
1937	660	330
1938	664	319
1939	663	315
1940	616	312
1941	564	296
1942	517	300
1943	469	278
1944	286	266
1945	366	287
1946	495	268
1947	485	278
1948	499	273
1949	613	284
1950	589	261
1951	564	283
1952	594	282
1953	598	270
1954	538	266
1955	543	258
1956	630	287
1957	534	258
1958	662	264
1959	624	239
1960	642	253
1961	778	272
1962	1050	313
1963	703	299
1964	811	292
1965	936	287
1966	784	268
1967	927	281
1968	707	272
1969	721	260
1970	703	269
1971	464	260
1972	509	272
1973	438	256
1974	364	264
1975	379	228
1976	445	262
1977	275	225
1978	235	219
1979	253	224
1980	303	226
1981	198	179
1982	212	196
1983	257	195
1984	247	189
1985	175	152
1986	181	154
1987	212	163
1988	220	183
1989	269	223
1990	256	209
1991	225	187
1992	278	195
1993	190	161
1994	204	175
1995	172	149
1996	35	31
1997	63	56
1998	176	161
1999	224	192
2000	216	199
2001	186	167
2002	193	181
2003	189	178
2004	136	134
2005	170	157
2006	160	150
2007	90	86
