Year	Nobs	NobsU	NobsO	NobsC
1904	295	0	1	1
1905	332	1	0	1
1906	335	243	0	243
1907	343	159	0	159
1908	343	0	0	0
1909	348	2	0	2
1910	351	0	0	0
1911	327	0	0	0
1912	332	7	0	7
1913	336	81	0	81
1914	328	288	0	288
1915	337	320	0	320
1916	347	323	1	324
1917	334	324	0	324
1918	343	322	0	322
1919	336	321	1	322
1920	331	328	0	328
1921	341	330	0	330
1922	327	301	0	301
1923	343	300	1	301
1924	360	328	1	329
1925	365	324	4	328
1926	364	316	2	318
1927	364	326	0	326
1928	361	317	0	317
1929	362	319	0	319
1930	360	316	0	316
1931	359	318	0	318
1932	362	308	0	308
1933	364	304	1	305
1934	360	305	1	306
1935	359	303	0	303
1936	362	300	0	300
1937	361	307	0	307
1938	361	299	0	299
1939	358	311	1	312
1940	363	7	1	8
1941	354	290	1	291
1942	363	295	0	295
1943	357	264	3	267
1944	358	256	0	256
1945	364	289	2	291
1946	365	263	1	264
1947	365	264	0	264
1948	366	267	2	269
1949	365	284	0	284
1950	363	265	0	265
1951	361	275	0	275
1952	366	278	0	278
1953	365	260	1	261
1954	364	254	0	254
1955	365	262	46	308
1956	365	294	52	346
1957	365	259	91	350
1958	365	306	40	346
1959	365	344	3	347
1960	366	349	4	353
1961	364	309	41	350
1962	364	323	16	339
1963	365	294	36	330
1964	366	285	47	332
1965	365	286	36	322
1966	352	268	49	317
1967	346	298	38	336
1968	342	278	47	325
1969	348	259	76	335
1970	347	273	52	325
1971	339	265	62	327
1972	342	279	43	322
1973	345	272	69	341
1974	351	283	56	339
1975	313	225	66	291
1976	326	291	8	299
1977	322	234	50	284
1978	324	226	70	296
1979	262	224	20	244
1980	327	226	56	282
1981	218	182	0	182
1982	217	188	0	188
1983	310	203	79	282
1984	225	195	0	195
1985	209	155	0	155
1986	267	148	48	196
1987	229	143	0	143
1988	233	196	0	196
1989	260	211	0	211
1990	243	202	0	202
1991	215	173	0	173
1992	226	183	2	185
1993	207	158	0	158
1994	204	168	0	168
1995	189	136	0	136
1996	143	27	0	27
1997	165	52	0	52
1998	193	153	0	153
1999	222	105	0	105
2000	230	194	0	194
2001	233	148	0	148
2002	227	163	0	163
2003	244	16	0	16
2004	234	15	0	15
2005	244	29	0	29
2006	213	133	0	133
2007	209	2	0	2
2008	200	0	0	0
2009	197	0	0	0
2010	251	0	0	0
2011	293	0	0	0
2012	288	0	0	0
2013	247	0	0	0
2014	258	0	0	0
2015	264	0	0	0
2016	258	0	0	0
2017	247	0	0	0
2018	163	0	0	0
2019	126	0	0	0
2020	88	0	0	0
2021	125	0	0	0
2022	137	0	0	0
